山东电信,#genre#
CCTV16,http://117.114.153.18:8180/TV00000000000000000136@HHZT
CCTV16,http://47.102.200.34:18081/live/program/live/cm3u816hd8m/8000000/mnf.m3u8
CCTV17,http://150.138.8.143/00/SNM/CHANNEL00000303/index.m3u8
CCTV4K,http://150.138.8.132/PLTV/88888888/224/3221227239/494657502.smil/index.m3u8?fmt=ts2hls
CCTV4美洲,http://150.138.8.143/00/SNM/CHANNEL00000351/index.m3u8
CCTV4欧洲,http://150.138.8.143/00/SNM/CHANNEL00000350/index.m3u8
CETV1,http://150.138.8.143/00/SNM/CHANNEL00000076/index.m3u8
CETV2,http://150.138.8.143/00/SNM/CHANNEL00000077/index.m3u8
CETV4,http://150.138.8.143/00/SNM/CHANNEL00000666/index.m3u8
CGTN,http://150.138.8.143/00/SNM/CHANNEL00000352/index.m3u8
CGTN阿拉伯语,http://150.138.8.143/00/SNM/CHANNEL00000356/index.m3u8
CGTN俄语,http://150.138.8.143/00/SNM/CHANNEL00000357/index.m3u8
CGTN法语,http://150.138.8.143/00/SNM/CHANNEL00000355/index.m3u8
CGTN纪录,http://150.138.8.143/00/SNM/CHANNEL00000353/index.m3u8
CGTN西班牙语,http://150.138.8.143/00/SNM/CHANNEL00000354/index.m3u8
北京卫视4K,http://150.138.8.132/PLTV/88888888/224/3221227299/518924348.smil/index.m3u8?fmt=ts2hls
广东卫视4K,http://150.138.8.132/PLTV/88888888/224/3221227437/521682524.smil/index.m3u8?fmt=ts2hls
深圳卫视4K,http://150.138.8.132/PLTV/88888888/224/3221227307/521682571.smil/index.m3u8?fmt=ts2hls
北京卫视,http://150.138.8.143/00/SNM/CHANNEL00000302/index.m3u8
东方卫视,http://150.138.8.143/00/SNM/CHANNEL00000309/index.m3u8
湖南卫视,http://150.138.8.143/00/SNM/CHANNEL00000324/index.m3u8
江苏卫视,http://150.138.8.143/00/SNM/CHANNEL00000304/index.m3u8
浙江卫视,http://150.138.8.143/00/SNM/CHANNEL00000305/index.m3u8
安徽卫视,http://150.138.8.143/00/SNM/CHANNEL00000328/index.m3u8
山东卫视,http://150.138.8.143/00/SNM/CHANNEL10000301/index.m3u8
辽宁卫视,http://150.138.8.143/00/SNM/CHANNEL00000326/index.m3u8
河南卫视,http://150.138.8.143/00/SNM/CHANNEL00000358/index.m3u8
天津卫视,http://150.138.8.143/00/SNM/CHANNEL00000327/index.m3u8
河北卫视,http://150.138.8.143/00/SNM/CHANNEL00000330/index.m3u8
四川卫视,http://150.138.8.143/00/SNM/CHANNEL00000348/index.m3u8
黑龙江卫视,http://150.138.8.143/00/SNM/CHANNEL00000306/index.m3u8
湖北卫视,http://150.138.8.143/00/SNM/CHANNEL00000325/index.m3u8
吉林卫视,http://150.138.8.143/00/SNM/CHANNEL00000363/index.m3u8
山西卫视,http://150.138.8.143/00/SNM/CHANNEL00000032/index.m3u8
